person,id,condition,floors,date,start_time_ascend,end_time_ascend,step_count_ascend,start_time_descend,end_time_descend,step_count_descend,registered_steps_ascend,registered_steps_descend,registered_floors_ascend,floor yasmin,,floor marjolein
Marjolein,4,walking,1,27-02-2026,15:24:10,15:24:23,23,15:24:45,15:24:57,23,,,,1,,1
Marjolein,4,walking,1,27-02-2026,15:30:30,15:30:42,22,15:31:05,15:31:17,23,,,,1,,1
Marjolein,4,slow,1,,,,,,,,,,,,,
Marjolein,4,slow,1,,,,,,,,,,,,,
Marjolein,4,slow,1,,,,,,,,,,,,,
Marjolein,4,slow,1,,,,,,,,,,,,,
Marjolein,4,slow,1,,,,,,,,,,,,,
Marjolein,4,running,2,26-02-2026,15:31:15,15:31:30,47,15:33:10,15:33:23,47,36,16,,,,
Marjolein,4,running,2,26-02-2026,15:38:30,15:38:45,47,15:41:10,15:41:26,47,,,,,,
Marjolein,4,running,2,,,,,,,,,,,,,
Marjolein,4,running,2,,,,,,,,,,,,,
Marjolein,4,running,2,,,,,,,,,,,,,
Marjolein,4,walking,2,26-02-2026,15:25:14,15:25:42,46,15:27:00,15:27:28,48,44,50,1,,,
Marjolein,4,walking,2,26-02-2026,15:35:15,15:35:41,44,15:37:15,15:37:43,48,44,48,,,,
Marjolein,4,walking,2,,,,,,,,,,,,,
Marjolein,4,walking,2,,,,,,,,,,,,,
Marjolein,4,walking,2,,,,,,,,,,,,,
Marjolein,4,slow,2,,,,,,,,,,,,,
Marjolein,4,slow,2,,,,,,,,,,,,,
Marjolein,4,slow,2,,,,,,,,,,,,,
Marjolein,4,slow,2,,,,,,,,,,,,,
Marjolein,4,slow,2,,,,,,,,,,,,,
Marjolein,4,running,1,,14:02:15,14:02:23,23,14:02:53,14:03:01,23,,,,,,
Marjolein,4,running,1,,14:04:55,14:05:07,23,14:04:22,14:05:34,23,,,,,,
Marjolein,4,running,1,,14:06:05,14:06:12,22,14:06:42,14:06:49,23,,,,,,
Marjolein,4,running,1,,14:09:00,14:09:07,23,14:09:37,14:09:44,25,,,,,,
Marjolein,4,running,1,,14:13:26,14:13:34,24,14:13:04,14:14:11,23,,,,,,
Marjolein,4,walking,1,,14:00:45,14:00:58,23,14:00:28,14:01:42,23,,,,,,
Marjolein,4,walking,1,,14:03:20,14:03:33,22,14:04:01,14:04:12,23,,,,,,
Marjolein,4,walking,1,,14:07:35,14:07:47,22,14:08:19,14:08:30,23,,,,,,
Marjolein,4,walking,1,,14:12:00,14:12:12,22,14:12:42,12:12:56,23,,,,,,
Marjolein,4,walking,1,,14:15:05,14:15:19,23,14:15:49,14:16:02,23,,,,,,
