phone,person,id,condition,floors,date,start_time_ascend,end_time_ascend,step_count_ascend,start_time_descend,end_time_descend,step_count_descend,registered_steps_ascend,registered_steps_descend,registered_floors_ascend
iphone13m,Yasmin,3,running,2,06-03-2026,11:30:20,11:30:36,44,11:31:15,11:31:32,47,28,16,2
iphone13m,Yasmin,3,running,2,06-03-2026,11:35:50,11:36:05,44,11:36:45,11:37:01,45,21,26,2
iphone13m,Yasmin,3,running,2,06-03-2026,11:41:45,11:41:58,43,11:42:30,11:42:45,44,30,28,2
iphone13m,Yasmin,3,walking,2,27-02-2026,15:11:15,15:11:40,42,15:12:15,15:12:38,45,42,47,2
iphone13m,Yasmin,3,walking,2,27-02-2026,15:17:40,15:18:05,42,15:18:35,15:18:58,46,43,45,2
iphone13m,Yasmin,3,walking,2,06-03-2026,11:27:30,11:27:55,43,11:28:30,11:28:57,46,41,46,2
iphone13m,Yasmin,3,walking,2,06-03-2026,11:32:30,11:32:57,43,11:33:35,11:34:02,46,41,46,2
iphone13m,Yasmin,3,walking,2,06-03-2026,11:38:50,11:39:16,43,11:40:05,11:40:31,46,46,46,2
iphone13m,Yasmin,3,slow,2,06-03-2026,12:41:10,12:41:43,50,12:42:20,12:42:59,51,52,54,2
iphone13m,Yasmin,3,slow,2,06-03-2026,12:45:05,12:45:46,48,12:46:35,12:47:15,52,49,60,2
iphone13m,Yasmin,3,slow,2,06-03-2026,12:49:00,12:49:43,46,12:52:05,12:52:54,53,45,50,2
iphone13m,Yasmin,3,slow,2,06-03-2026,14:49:20,14:50:06,46,14:51:00,14:51:47,53,52,48,2
iphone13m,Yasmin,3,slow,2,06-03-2026,14:53:35,14:54:17,49,14:55:15,14:55:56,52,48,56,2
iphone13m,Marjolein,4,running,1,27-02-2026,14:27:55,14:28:02,24,14:29:45,14:29:51,25,6,12,0
iphone13m,Marjolein,4,running,1,27-02-2026,14:33:25,14:33:31,25,14:34:10,14:34:15,24,0,9,0
iphone13m,Marjolein,4,running,1,27-02-2026,14:39:25,14:39:31,25,14:40:45,14:40:51,24,18,7,0
iphone13m,Marjolein,4,running,1,27-02-2026,15:26:00,15:26:06,24,15:27:20,15:27:25,22,16,14,0
iphone13m,Marjolein,4,running,1,27-02-2026,15:32:20,15:32:26,24,15:34:20,15:34:26,21,0,0,0
iphone13m,Marjolein,4,walking,1,27-02-2026,14:25:49,14:26:03,22,14:26:45,14:26:57,22,21,23,1
iphone13m,Marjolein,4,walking,1,27-02-2026,14:31:40,14:31:53,23,14:32:30,14:32:42,23,21,23,1
iphone13m,Marjolein,4,walking,1,27-02-2026,14:37:25,14:37:37,22,14:38:15,14:38:27,23,21,23,1
iphone13m,Marjolein,4,walking,1,27-02-2026,15:24:10,15:24:23,23,15:24:45,15:24:57,23,21,22,1
iphone13m,Marjolein,4,walking,1,27-02-2026,15:30:30,15:30:42,22,15:31:05,15:31:17,23,21,23,1
iphone13m,Marjolein,4,slow,1,06-03-2026,14:23:55,14:24:18,23,14:25:15,14:25:41,25,32,30,1
iphone13m,Marjolein,4,slow,1,06-03-2026,14:27:15,14:27:49,24,14:28:30,14:29:02,24,36,0,1
iphone13m,Marjolein,4,slow,1,06-03-2026,14:31:15,14:31:39,24,14:33:00,14:33:26,23,26,8,1
iphone13m,Marjolein,4,slow,1,06-03-2026,15:15:40,15:16:00,24,15:16:35,15:16:58,23,18,45,1
iphone13m,Marjolein,4,slow,1,06-03-2026,15:21:50,15:22:13,24,15:22:50,15:23:12,24,26,22,1
iphone13m,Marjolein,4,running,2,26-02-2026,15:31:15,15:31:30,47,15:33:10,15:33:23,47,36,16,1
iphone13m,Marjolein,4,running,2,26-02-2026,15:38:30,15:38:45,47,15:41:10,15:41:26,47,0,0,0
iphone13m,Marjolein,4,running,2,06-03-2026,12:14:15,12:14:28,45,12:16:00,12:16:12,44,16,24,0
iphone13m,Marjolein,4,running,2,06-03-2026,12:20:05,12:20:18,44,12:21:05,12:21:17,45,31,21,2
iphone13m,Marjolein,4,running,2,06-03-2026,12:24:50,12:25:03,44,12:25:45,12:25:57,45,5,18,0
iphone13m,Marjolein,4,walking,2,26-02-2026,15:25:14,15:25:42,46,15:27:00,15:27:28,48,44,50,1
iphone13m,Marjolein,4,walking,2,26-02-2026,15:35:15,15:35:41,44,15:37:15,15:37:43,48,44,48,2
iphone13m,Marjolein,4,walking,2,06-03-2026,12:17:50,12:18:19,46,12:18:45,12:19:13,47,45,49,2
iphone13m,Marjolein,4,walking,2,06-03-2026,12:22:35,12:23:00,44,12:23:35,12:24:03,46,46,44,2
iphone13m,Marjolein,4,walking,2,06-03-2026,12:27:15,12:27:40,44,12:28:06,12:28:30,46,46,46,2
iphone13m,Marjolein,4,slow,2,06-03-2026,14:11:35,14:12:25,47,14:13:25,14:14:22,50,52,77,2
iphone13m,Marjolein,4,slow,2,06-03-2026,14:15:45,14:16:49,52,14:17:25,14:18:20,53,19,52,1
iphone13m,Marjolein,4,slow,2,06-03-2026,14:20:00,14:20:49,54,14:21:40,14:22:30,53,52,63,2
iphone13m,Marjolein,4,slow,2,06-03-2026,15:18:10,15:18:49,52,15:19:35,15:20:34,54,44,49,2
iphone13m,Marjolein,4,slow,2,06-03-2026,15:24:25,15:25:17,52,15:26:06,15:27:00,55,43,68,2
iphoneSE,Mara,1,running,1,27-02-2026,14:01:10,14:01:17,21,14:01:50,14:01:57,23,24,15,1
iphoneSE,Mara,1,running,1,26-02-2026,14:26:20,14:26:29,22,14:27:45,14:27:52,24,22,0,1
iphoneSE,Mara,1,running,1,26-02-2026,14:32:35,14:32:43,23,14:33:44,14:33:51,25,17,0,1
iphoneSE,Mara,1,running,1,27-02-2026,14:06:10,14:06:17,21,14:07:30,14:07:36,23,18,11,1
iphoneSE,Mara,1,running,1,27-02-2026,14:11:15,14:11:23,20,14:11:55,14:12:01,22,22,12,1
