person,id,condition,floors,date,start_time_ascend,end_time_ascend,step_count_ascend,start_time_descend,end_time_descend,step_count_descend,registered_steps_ascend,registered_steps_descend,registered_floors_ascend,floor yasmin,,floor marjolein
Napoleon,2,running,2,06-03-2026,11:56:45,11:56:55,24,11:57:25,11:57:36,27,,,,"1,1",,"1,1"
Napoleon,2,walking,2,27-02-2026,15:00:35,15:01:01,44,15:02:00,15:02:19,46,42,38,"1,1",,,
Napoleon,2,walking,2,27-02-2026,15:05:30,15:05:54,44,15:06:25,15:06:42,44,43,35,"1,1",,,
Napoleon,2,walking,2,06-03-2026,11:44:00,11:44:25,44,11:45:25,11:45:46,47,,,,"1,1",,"1,1"
Napoleon,2,walking,2,06-03-2026,11:49:10,11:49:35,44,11:50:30,11:50:48,48,,,,"1,1",,"1,1"
Napoleon,2,walking,2,06-03-2026,11:54:10,11:54:34,44,11:55:26,11:55:42,44,,,,"1,1",,"1,1"
Napoleon,2,slow,2,06-03-2026,13:54:00,13:54:46,49,13:55:15,13:55:50,47,,,,"1,1",,"1,1"
Napoleon,2,slow,2,06-03-2026,13:59:35,14:00:15,47,14:00:45,14:01:19,47,,,,"1,1",,"1,1"
Napoleon,2,slow,2,06-03-2026,14:04:15,14:04:52,47,14:07:15,14:07:48,47,,,,"1,1",,"1,1"
Napoleon,2,slow,2,06-03-2026,15:05:30,15:06:04,47,15:06:35,15:07:08,48,,,,"1,1",,"1,1"
Napoleon,2,slow,2,06-03-2026,15:12:10,15:12:47,48,15:13:15,15:13:47,47,,,,"1,1",,"1,1"
Yasmin,3,running,1,26-02-2026,15:04:30,15:04:37,22,15:05:25,15:05:33,22,10,12,1,,,
Yasmin,3,running,1,26-02-2026,15:10:10,15:10:17,22,15:11:10,15:11:18,22,23,8,1,,,
Yasmin,3,running,1,26-02-2026,15:16:10,15:16:16,22,15:17:30,15:17:37,22,14,0,1,,,
Yasmin,3,running,1,27-02-2026,13:41:55,13:42:02,22,13:43:25,13:43:32,21,10,11,0,,,
Yasmin,3,running,1,27-02-2026,13:50:00,13:50:07,22,13:51:50,13:51:57,21,6,12,0,,,
